,id,name,abrev,color,alt_color,mascot,logos
657,613,South Dakota Mines,SDA,#000000,,Hardrockers,http://a.espncdn.com/i/teamlogos/ncaa/500/613.png
660,199,Southeastern Oklahoma,SEOS,#000000,,Savage Storm,http://a.espncdn.com/i/teamlogos/ncaa/500/199.png
664,2568,Southern Arkansas,SOU,#000000,,Muleriders,http://a.espncdn.com/i/teamlogos/ncaa/500/2568.png
666,79,Southern Illinois,SIU,#85283D,#c2c3c0,Salukis,http://a.espncdn.com/i/teamlogos/ncaa/500/79.png
667,2572,Southern Mississippi,USM,#FFAA3C,#ffc423,Golden Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
668,200,Southern Nazarene,STN,#000000,,Crimson Storm,http://a.espncdn.com/i/teamlogos/ncaa/500/200.png
670,253,Southern Utah,SUU,#d10000,#c2c3c0,Thunderbirds,http://a.espncdn.com/i/teamlogos/ncaa/500/253.png
677,2587,Southwest Minnesota State,SWM,#000000,,Mustangs,http://a.espncdn.com/i/teamlogos/ncaa/500/2587.png
692,2598,St Francis PA,SFU,#a20012,,Red Flash,http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png
686,2617,Stephen F. Austin,SFA,#393996,#bec0c2,Lumberjacks,http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png
701,284,Stonehill,SBI,#000000,,Chieftains,http://a.espncdn.com/i/teamlogos/ncaa/500/284.png
714,216,Susquehanna,SUS,#000000,,Crusaders,http://a.espncdn.com/i/teamlogos/ncaa/500/216.png
716,2627,Tarleton State,TAR,#000000,,Texans,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png
718,218,Temple,TEM,#A80532,#a7a9ac,Owls,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
722,251,Texas,TEX,#EE7524,#f0f0f0,Longhorns,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
723,245,Texas A&M,TA&M,#5C0025,#ffffff,Aggies,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
732,326,Texas State,TXST,#4e1719,#b4975a,Bobcats,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png
738,2838,Tiffin,TIF,#000000,,Dragons,http://a.espncdn.com/i/teamlogos/ncaa/500/2838.png
748,2653,Troy,TROY,#AE0210,#88898c,Trojans,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
753,202,Tulsa,TLSA,#004371,#ee3b33,Golden Hurricane,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png
758,302,UC Davis,UCD,#002855,#c3c4c6,Aggies,http://a.espncdn.com/i/teamlogos/ncaa/500/302.png
760,26,UCLA,UCLA,#005C8E,#ffc72c,Bruins,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
776,30,USC,USC,#ffc72c,#ae2531,Trojans,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
782,2630,UT Martin,UTM,#FF6700,#102a5c,Skyhawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png
783,2636,UT San Antonio,UTSA,#002A5C,#f47321,Roadrunners,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
771,110243,University of Texas of the Permian Basin,UTPB,#FFFFFF,,Falcons,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
775,2667,Ursinus,URS,#000000,,Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/2667.png
777,254,Utah,UTAH,#890012,#7e8083,Utes,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
790,628,Valley City State,VAL,#000000,,Vikings,http://a.espncdn.com/i/teamlogos/ncaa/500/628.png
791,2674,Valparaiso,VALP,#794500,,Crusaders,http://a.espncdn.com/i/teamlogos/ncaa/500/2674.png
795,2355,Virginia Lynchburg,UVAL,#FFFFFF,,Dragons,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1753,2676,Virginia Union,VIR,#000000,,Panthers,http://a.espncdn.com/i/teamlogos/ncaa/500/2676.png
801,154,Wake Forest,WAKE,#9E7E38,#000000,Demon Deacons,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
807,264,Washington,WASH,#2B2F64,#e8e3d3,Huskies,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
808,2686,Washington & Jefferson,WAS,#000000,,Presidents,http://a.espncdn.com/i/teamlogos/ncaa/500/2686.png
811,265,Washington State,WSU,#94022a,#6a747c,Cougars,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
815,2844,Wayne State NE,WAY,#000000,,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2844.png
813,2845,Waynesburg,WAY,#000000,,Yellow Jackets,http://a.espncdn.com/i/teamlogos/ncaa/500/2845.png
817,2692,Weber State,WEB,#18005a,#ebebeb,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2692.png
836,2699,West Liberty,WES,#000000,,Hilltoppers,http://a.espncdn.com/i/teamlogos/ncaa/500/2699.png
840,277,West Virginia,WVU,#FFC600,#eaaa00,Mountaineers,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
824,2843,Western Connecticut State,WES,#000000,,Colonials,http://a.espncdn.com/i/teamlogos/ncaa/500/2843.png
825,2710,Western Illinois,WIU,#4e1e8a,#ffc90a,Leathernecks,http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png
828,2702,Western New England,WES,#000000,,Golden Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/2702.png
830,2848,Western Oregon,WES,#000000,,Wolves,http://a.espncdn.com/i/teamlogos/ncaa/500/2848.png
838,2849,Westminster PA,WMN,#000000,,Titans,http://a.espncdn.com/i/teamlogos/ncaa/500/2849.png
843,396,Wheaton College Ill,WHE,#000000,,Thunder,http://a.espncdn.com/i/teamlogos/ncaa/500/396.png
844,112335,Wheeling Jesuit,WJ,#FFFFFF,,Cardinals,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
847,2725,Widener,WID,#000000,,Pride,http://a.espncdn.com/i/teamlogos/ncaa/500/2725.png
849,2930,Willamette,WIL,#000000,,Bearcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2930.png
865,272,Wisconsin-Platteville,WIS,#000000,,Pioneers,http://a.espncdn.com/i/teamlogos/ncaa/500/272.png
867,2746,Wittenberg,WIT,#000000,,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/2746.png
870,2749,Worcester Polytechnic,WPI,#000000,,Engineers,http://a.espncdn.com/i/teamlogos/ncaa/500/2749.png
